[INFO] [1743241632.472983, 119.822000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.474116, 119.823000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.475554, 119.824000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.476459, 119.825000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.477292, 119.826000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.478165, 119.827000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.479052, 119.828000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.479968, 119.829000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.480988, 119.830000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.481971, 119.831000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.482885, 119.832000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.483936, 119.833000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.485738, 119.834000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.486772, 119.835000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.487441, 119.836000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.488086, 119.837000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.488904, 119.838000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.489909, 119.839000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.491296, 119.840000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.492039, 119.841000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.492909, 119.842000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.493883, 119.843000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.494858, 119.844000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.495838, 119.845000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.496847, 119.846000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.497834, 119.847000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.498814, 119.848000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.499784, 119.849000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.501011, 119.850000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.502387, 119.851000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.503133, 119.852000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.503802, 119.853000]: Robot Position: x=0.00, y=-0.06
[INFO] [1743241632.504834, 119.854000]: Robot Position: x=0.00, y=-0.06
